Date,Open,High,Low,Close,Volume
14-Aug-17,-,-,-,1.72,-
13-Aug-17,-,-,-,1.73,-
12-Aug-17,-,-,-,1.74,-
11-Aug-17,-,-,-,1.75,-
10-Aug-17,-,-,-,1.75,-
9-Aug-17,-,-,-,1.76,-
8-Aug-17,-,-,-,1.77,-
7-Aug-17,-,-,-,1.78,-
6-Aug-17,-,-,-,1.78,-
5-Aug-17,-,-,-,1.78,-
4-Aug-17,-,-,-,1.78,-
3-Aug-17,-,-,-,1.78,-
2-Aug-17,-,-,-,1.77,-
1-Aug-17,-,-,-,1.77,-
31-Jul-17,-,-,-,1.77,-
30-Jul-17,-,-,-,1.77,-
29-Jul-17,-,-,-,1.78,-
28-Jul-17,-,-,-,1.79,-
27-Jul-17,-,-,-,1.81,-
26-Jul-17,-,-,-,1.82,-
25-Jul-17,-,-,-,1.83,-
24-Jul-17,-,-,-,1.84,-
23-Jul-17,-,-,-,1.83,-
22-Jul-17,-,-,-,1.83,-
21-Jul-17,-,-,-,1.82,-
20-Jul-17,-,-,-,1.82,-
19-Jul-17,-,-,-,1.82,-
18-Jul-17,-,-,-,1.82,-
17-Jul-17,-,-,-,1.83,-
16-Jul-17,-,-,-,1.84,-
15-Jul-17,-,-,-,1.86,-
14-Jul-17,-,-,-,1.88,-
13-Jul-17,-,-,-,1.89,-
12-Jul-17,-,-,-,1.90,-
11-Jul-17,-,-,-,1.89,-
10-Jul-17,-,-,-,1.82,-
9-Jul-17,-,-,-,1.79,-
8-Jul-17,-,-,-,1.77,-
7-Jul-17,-,-,-,1.74,-
6-Jul-17,-,-,-,1.72,-
5-Jul-17,-,-,-,1.70,-
4-Jul-17,-,-,-,1.69,-
3-Jul-17,-,-,-,1.74,-
2-Jul-17,-,-,-,1.77,-
1-Jul-17,-,-,-,1.79,-
30-Jun-17,-,-,-,1.80,-
29-Jun-17,-,-,-,1.82,-
28-Jun-17,-,-,-,1.83,-
27-Jun-17,-,-,-,1.85,-
26-Jun-17,-,-,-,1.87,-
25-Jun-17,-,-,-,1.88,-
24-Jun-17,-,-,-,1.88,-
23-Jun-17,-,-,-,1.88,-
22-Jun-17,-,-,-,1.87,-
21-Jun-17,-,-,-,1.86,-
20-Jun-17,-,-,-,1.86,-
19-Jun-17,-,-,-,1.87,-
18-Jun-17,-,-,-,1.86,-
17-Jun-17,-,-,-,1.88,-
16-Jun-17,-,-,-,1.88,-
15-Jun-17,-,-,-,1.87,-
14-Jun-17,-,-,-,1.86,-
