Date,Open,High,Low,Close,Volume
14-Aug-17,-,-,-,1.31,-
13-Aug-17,-,-,-,1.31,-
12-Aug-17,-,-,-,1.32,-
11-Aug-17,-,-,-,1.33,-
10-Aug-17,-,-,-,1.33,-
9-Aug-17,-,-,-,1.34,-
8-Aug-17,-,-,-,1.35,-
7-Aug-17,-,-,-,1.37,-
6-Aug-17,-,-,-,1.38,-
5-Aug-17,-,-,-,1.37,-
4-Aug-17,-,-,-,1.37,-
3-Aug-17,-,-,-,1.36,-
2-Aug-17,-,-,-,1.35,-
1-Aug-17,-,-,-,1.34,-
31-Jul-17,-,-,-,1.31,-
30-Jul-17,-,-,-,1.30,-
29-Jul-17,-,-,-,1.29,-
28-Jul-17,-,-,-,1.28,-
27-Jul-17,-,-,-,1.28,-
26-Jul-17,-,-,-,1.27,-
25-Jul-17,-,-,-,1.27,-
24-Jul-17,-,-,-,1.28,-
23-Jul-17,-,-,-,1.29,-
22-Jul-17,-,-,-,1.30,-
21-Jul-17,-,-,-,1.32,-
20-Jul-17,-,-,-,1.33,-
19-Jul-17,-,-,-,1.34,-
18-Jul-17,-,-,-,1.34,-
17-Jul-17,-,-,-,1.34,-
16-Jul-17,-,-,-,1.34,-
15-Jul-17,-,-,-,1.34,-
14-Jul-17,-,-,-,1.33,-
13-Jul-17,-,-,-,1.32,-
12-Jul-17,-,-,-,1.34,-
11-Jul-17,-,-,-,1.35,-
10-Jul-17,-,-,-,1.31,-
9-Jul-17,-,-,-,1.32,-
8-Jul-17,-,-,-,1.33,-
7-Jul-17,-,-,-,1.34,-
6-Jul-17,-,-,-,1.34,-
5-Jul-17,-,-,-,1.32,-
4-Jul-17,-,-,-,1.30,-
3-Jul-17,-,-,-,1.32,-
2-Jul-17,-,-,-,1.31,-
1-Jul-17,-,-,-,1.29,-
30-Jun-17,-,-,-,1.27,-
29-Jun-17,-,-,-,1.24,-
28-Jun-17,-,-,-,1.23,-
27-Jun-17,-,-,-,1.23,-
26-Jun-17,-,-,-,1.22,-
25-Jun-17,-,-,-,1.22,-
24-Jun-17,-,-,-,1.22,-
