Date,Open,High,Low,Close,Volume
14-Aug-17,-,-,-,1.55,-
13-Aug-17,-,-,-,1.55,-
12-Aug-17,-,-,-,1.55,-
11-Aug-17,-,-,-,1.55,-
10-Aug-17,-,-,-,1.55,-
9-Aug-17,-,-,-,1.56,-
8-Aug-17,-,-,-,1.59,-
7-Aug-17,-,-,-,1.59,-
6-Aug-17,-,-,-,1.59,-
5-Aug-17,-,-,-,1.59,-
4-Aug-17,-,-,-,1.59,-
3-Aug-17,-,-,-,1.59,-
2-Aug-17,-,-,-,1.58,-
1-Aug-17,-,-,-,1.56,-
31-Jul-17,-,-,-,1.56,-
30-Jul-17,-,-,-,1.55,-
29-Jul-17,-,-,-,1.55,-
28-Jul-17,-,-,-,1.54,-
27-Jul-17,-,-,-,1.53,-
26-Jul-17,-,-,-,1.52,-
25-Jul-17,-,-,-,1.52,-
24-Jul-17,-,-,-,1.52,-
23-Jul-17,-,-,-,1.52,-
22-Jul-17,-,-,-,1.52,-
21-Jul-17,-,-,-,1.51,-
20-Jul-17,-,-,-,1.52,-
19-Jul-17,-,-,-,1.52,-
18-Jul-17,-,-,-,1.52,-
17-Jul-17,-,-,-,1.52,-
16-Jul-17,-,-,-,1.53,-
15-Jul-17,-,-,-,1.54,-
14-Jul-17,-,-,-,1.54,-
13-Jul-17,-,-,-,1.56,-
12-Jul-17,-,-,-,1.57,-
11-Jul-17,-,-,-,1.54,-
10-Jul-17,-,-,-,1.45,-
9-Jul-17,-,-,-,1.39,-
8-Jul-17,-,-,-,1.37,-
7-Jul-17,-,-,-,1.36,-
6-Jul-17,-,-,-,1.34,-
5-Jul-17,-,-,-,1.32,-
4-Jul-17,-,-,-,1.34,-
3-Jul-17,-,-,-,1.43,-
2-Jul-17,-,-,-,1.48,-
1-Jul-17,-,-,-,1.50,-
30-Jun-17,-,-,-,1.51,-
29-Jun-17,-,-,-,1.52,-
28-Jun-17,-,-,-,1.54,-
27-Jun-17,-,-,-,1.55,-
26-Jun-17,-,-,-,1.56,-
25-Jun-17,-,-,-,1.56,-
24-Jun-17,-,-,-,1.55,-
23-Jun-17,-,-,-,1.54,-
22-Jun-17,-,-,-,1.54,-
21-Jun-17,-,-,-,1.52,-
20-Jun-17,-,-,-,1.51,-
19-Jun-17,-,-,-,1.50,-
18-Jun-17,-,-,-,1.49,-
17-Jun-17,-,-,-,1.50,-
16-Jun-17,-,-,-,1.50,-
15-Jun-17,-,-,-,1.50,-
14-Jun-17,-,-,-,1.50,-
13-Jun-17,-,-,-,1.50,-
12-Jun-17,-,-,-,1.50,-
11-Jun-17,-,-,-,1.50,-
10-Jun-17,-,-,-,1.51,-
9-Jun-17,-,-,-,1.51,-
8-Jun-17,-,-,-,1.51,-
7-Jun-17,-,-,-,1.52,-
6-Jun-17,-,-,-,1.53,-
5-Jun-17,-,-,-,1.52,-
4-Jun-17,-,-,-,1.45,-
3-Jun-17,-,-,-,1.43,-
2-Jun-17,-,-,-,1.42,-
1-Jun-17,-,-,-,1.41,-
31-May-17,-,-,-,1.40,-
30-May-17,-,-,-,1.39,-
29-May-17,-,-,-,1.39,-
28-May-17,-,-,-,1.46,-
27-May-17,-,-,-,1.47,-
26-May-17,-,-,-,1.47,-
25-May-17,-,-,-,1.48,-
24-May-17,-,-,-,1.48,-
23-May-17,-,-,-,1.48,-
22-May-17,-,-,-,1.48,-
21-May-17,-,-,-,1.48,-
20-May-17,-,-,-,1.47,-
19-May-17,-,-,-,1.47,-
18-May-17,-,-,-,1.47,-
17-May-17,-,-,-,1.47,-
16-May-17,-,-,-,1.47,-
15-May-17,-,-,-,1.47,-
14-May-17,-,-,-,1.48,-
13-May-17,-,-,-,1.49,-
12-May-17,-,-,-,1.50,-
11-May-17,-,-,-,1.50,-
10-May-17,-,-,-,1.49,-
9-May-17,-,-,-,1.49,-
8-May-17,-,-,-,1.49,-
7-May-17,-,-,-,1.48,-
6-May-17,-,-,-,1.47,-
5-May-17,-,-,-,1.47,-
4-May-17,-,-,-,1.46,-
3-May-17,-,-,-,1.47,-
2-May-17,-,-,-,1.47,-
1-May-17,-,-,-,1.47,-
30-Apr-17,-,-,-,1.48,-
29-Apr-17,-,-,-,1.48,-
28-Apr-17,-,-,-,1.49,-
27-Apr-17,-,-,-,1.49,-
26-Apr-17,-,-,-,1.48,-
25-Apr-17,-,-,-,1.49,-
24-Apr-17,-,-,-,1.48,-
23-Apr-17,-,-,-,1.47,-
22-Apr-17,-,-,-,1.45,-
21-Apr-17,-,-,-,1.44,-
20-Apr-17,-,-,-,1.43,-
19-Apr-17,-,-,-,1.42,-
18-Apr-17,-,-,-,1.41,-
17-Apr-17,-,-,-,1.41,-
16-Apr-17,-,-,-,1.41,-
15-Apr-17,-,-,-,1.42,-
14-Apr-17,-,-,-,1.43,-
13-Apr-17,-,-,-,1.45,-
12-Apr-17,-,-,-,1.45,-
11-Apr-17,-,-,-,1.46,-
10-Apr-17,-,-,-,1.46,-
9-Apr-17,-,-,-,1.46,-
8-Apr-17,-,-,-,1.46,-
7-Apr-17,-,-,-,1.45,-
6-Apr-17,-,-,-,1.45,-
5-Apr-17,-,-,-,1.45,-
4-Apr-17,-,-,-,1.44,-
3-Apr-17,-,-,-,1.44,-
2-Apr-17,-,-,-,1.45,-
1-Apr-17,-,-,-,1.45,-
31-Mar-17,-,-,-,1.45,-
30-Mar-17,-,-,-,1.45,-
29-Mar-17,-,-,-,1.45,-
28-Mar-17,-,-,-,1.45,-
27-Mar-17,-,-,-,1.45,-
26-Mar-17,-,-,-,1.45,-
25-Mar-17,-,-,-,1.45,-
24-Mar-17,-,-,-,1.45,-
23-Mar-17,-,-,-,1.43,-
22-Mar-17,-,-,-,1.42,-
21-Mar-17,-,-,-,1.42,-
20-Mar-17,-,-,-,1.40,-
19-Mar-17,-,-,-,1.40,-
18-Mar-17,-,-,-,1.39,-
17-Mar-17,-,-,-,1.39,-
16-Mar-17,-,-,-,1.40,-
15-Mar-17,-,-,-,1.41,-
14-Mar-17,-,-,-,1.41,-
13-Mar-17,-,-,-,1.42,-
12-Mar-17,-,-,-,1.43,-
11-Mar-17,-,-,-,1.43,-
10-Mar-17,-,-,-,1.43,-
9-Mar-17,-,-,-,1.44,-
8-Mar-17,-,-,-,1.44,-
7-Mar-17,-,-,-,1.44,-
6-Mar-17,-,-,-,1.43,-
5-Mar-17,-,-,-,1.42,-
4-Mar-17,-,-,-,1.42,-
3-Mar-17,-,-,-,1.42,-
2-Mar-17,-,-,-,1.42,-
1-Mar-17,-,-,-,1.41,-
28-Feb-17,-,-,-,1.42,-
27-Feb-17,-,-,-,1.43,-
26-Feb-17,-,-,-,1.42,-
25-Feb-17,-,-,-,1.42,-
24-Feb-17,-,-,-,1.43,-
23-Feb-17,-,-,-,1.44,-
22-Feb-17,-,-,-,1.45,-
21-Feb-17,-,-,-,1.44,-
20-Feb-17,-,-,-,1.42,-
19-Feb-17,-,-,-,1.44,-
18-Feb-17,-,-,-,1.44,-
17-Feb-17,-,-,-,1.44,-
16-Feb-17,-,-,-,1.44,-
15-Feb-17,-,-,-,1.43,-
14-Feb-17,-,-,-,1.44,-
13-Feb-17,-,-,-,1.45,-
12-Feb-17,-,-,-,1.44,-
11-Feb-17,-,-,-,1.43,-
10-Feb-17,-,-,-,1.44,-
9-Feb-17,-,-,-,1.45,-
8-Feb-17,-,-,-,1.46,-
7-Feb-17,-,-,-,1.46,-
6-Feb-17,-,-,-,1.47,-
5-Feb-17,-,-,-,1.49,-
4-Feb-17,-,-,-,1.51,-
3-Feb-17,-,-,-,1.51,-
2-Feb-17,-,-,-,1.51,-
1-Feb-17,-,-,-,1.51,-
31-Jan-17,-,-,-,1.52,-
30-Jan-17,-,-,-,1.52,-
29-Jan-17,-,-,-,1.53,-
28-Jan-17,-,-,-,1.53,-
27-Jan-17,-,-,-,1.52,-
26-Jan-17,-,-,-,1.51,-
25-Jan-17,-,-,-,1.52,-
24-Jan-17,-,-,-,1.52,-
23-Jan-17,-,-,-,1.52,-
22-Jan-17,-,-,-,1.48,-
21-Jan-17,-,-,-,1.48,-
20-Jan-17,-,-,-,1.49,-
19-Jan-17,-,-,-,1.50,-
18-Jan-17,-,-,-,1.49,-
17-Jan-17,-,-,-,1.48,-
16-Jan-17,-,-,-,1.48,-
15-Jan-17,-,-,-,1.51,-
14-Jan-17,-,-,-,1.52,-
13-Jan-17,-,-,-,1.52,-
12-Jan-17,-,-,-,1.52,-
11-Jan-17,-,-,-,1.52,-
10-Jan-17,-,-,-,1.53,-
9-Jan-17,-,-,-,1.52,-
8-Jan-17,-,-,-,1.47,-
7-Jan-17,-,-,-,1.43,-
6-Jan-17,-,-,-,1.39,-
5-Jan-17,-,-,-,1.34,-
4-Jan-17,-,-,-,1.28,-
3-Jan-17,-,-,-,1.22,-
2-Jan-17,-,-,-,1.16,-
1-Jan-17,-,-,-,1.11,-
31-Dec-16,-,-,-,1.09,-
30-Dec-16,-,-,-,1.07,-
29-Dec-16,-,-,-,1.05,-
28-Dec-16,-,-,-,1.03,-
27-Dec-16,-,-,-,1.03,-
26-Dec-16,-,-,-,1.04,-
25-Dec-16,-,-,-,1.08,-
24-Dec-16,-,-,-,1.11,-
23-Dec-16,-,-,-,1.14,-
22-Dec-16,-,-,-,1.17,-
21-Dec-16,-,-,-,1.18,-
20-Dec-16,-,-,-,1.20,-
19-Dec-16,-,-,-,1.22,-
18-Dec-16,-,-,-,1.23,-
17-Dec-16,-,-,-,1.24,-
16-Dec-16,-,-,-,1.25,-
15-Dec-16,-,-,-,1.26,-
14-Dec-16,-,-,-,1.27,-
13-Dec-16,-,-,-,1.28,-
12-Dec-16,-,-,-,1.29,-
11-Dec-16,-,-,-,1.31,-
10-Dec-16,-,-,-,1.32,-
9-Dec-16,-,-,-,1.32,-
8-Dec-16,-,-,-,1.33,-
7-Dec-16,-,-,-,1.34,-
6-Dec-16,-,-,-,1.35,-
5-Dec-16,-,-,-,1.34,-
4-Dec-16,-,-,-,1.33,-
3-Dec-16,-,-,-,1.33,-
2-Dec-16,-,-,-,1.32,-
1-Dec-16,-,-,-,1.25,-
30-Nov-16,-,-,-,1.15,-
29-Nov-16,-,-,-,1.08,-
28-Nov-16,-,-,-,1.06,-
27-Nov-16,-,-,-,1.05,-
26-Nov-16,-,-,-,1.05,-
25-Nov-16,-,-,-,1.07,-
24-Nov-16,-,-,-,1.14,-
23-Nov-16,-,-,-,1.25,-
22-Nov-16,-,-,-,1.32,-
21-Nov-16,-,-,-,1.36,-
20-Nov-16,-,-,-,1.38,-
19-Nov-16,-,-,-,1.39,-
18-Nov-16,-,-,-,1.39,-
17-Nov-16,-,-,-,1.38,-
16-Nov-16,-,-,-,1.37,-
15-Nov-16,-,-,-,1.30,-
14-Nov-16,-,-,-,1.27,-
13-Nov-16,-,-,-,1.26,-
12-Nov-16,-,-,-,1.27,-
11-Nov-16,-,-,-,1.27,-
10-Nov-16,-,-,-,1.29,-
9-Nov-16,-,-,-,1.30,-
8-Nov-16,-,-,-,1.36,-
7-Nov-16,-,-,-,1.39,-
6-Nov-16,-,-,-,1.38,-
5-Nov-16,-,-,-,1.37,-
4-Nov-16,-,-,-,1.36,-
3-Nov-16,-,-,-,1.35,-
2-Nov-16,-,-,-,1.35,-
1-Nov-16,-,-,-,1.35,-
31-Oct-16,-,-,-,1.35,-
30-Oct-16,-,-,-,1.37,-
29-Oct-16,-,-,-,1.38,-
28-Oct-16,-,-,-,1.38,-
27-Oct-16,-,-,-,1.40,-
26-Oct-16,-,-,-,1.40,-
25-Oct-16,-,-,-,1.41,-
24-Oct-16,-,-,-,1.42,-
23-Oct-16,-,-,-,1.42,-
22-Oct-16,-,-,-,1.42,-
21-Oct-16,-,-,-,1.42,-
20-Oct-16,-,-,-,1.41,-
19-Oct-16,-,-,-,1.42,-
18-Oct-16,-,-,-,1.42,-
17-Oct-16,-,-,-,1.41,-
16-Oct-16,-,-,-,1.38,-
15-Oct-16,-,-,-,1.37,-
14-Oct-16,-,-,-,1.36,-
13-Oct-16,-,-,-,1.35,-
12-Oct-16,-,-,-,1.33,-
11-Oct-16,-,-,-,1.32,-
10-Oct-16,-,-,-,1.31,-
9-Oct-16,-,-,-,1.33,-
8-Oct-16,-,-,-,1.34,-
7-Oct-16,-,-,-,1.34,-
6-Oct-16,-,-,-,1.35,-
5-Oct-16,-,-,-,1.37,-
4-Oct-16,-,-,-,1.39,-
3-Oct-16,-,-,-,1.39,-
2-Oct-16,-,-,-,1.40,-
1-Oct-16,-,-,-,1.41,-
30-Sep-16,-,-,-,1.41,-
29-Sep-16,-,-,-,1.42,-
28-Sep-16,-,-,-,1.42,-
27-Sep-16,-,-,-,1.43,-
26-Sep-16,-,-,-,1.43,-
25-Sep-16,-,-,-,1.44,-
24-Sep-16,-,-,-,1.44,-
23-Sep-16,-,-,-,1.44,-
22-Sep-16,-,-,-,1.45,-
21-Sep-16,-,-,-,1.46,-
20-Sep-16,-,-,-,1.47,-
19-Sep-16,-,-,-,1.47,-
18-Sep-16,-,-,-,1.47,-
17-Sep-16,-,-,-,1.47,-
16-Sep-16,-,-,-,1.47,-
15-Sep-16,-,-,-,1.47,-
14-Sep-16,-,-,-,1.47,-
13-Sep-16,-,-,-,1.46,-
12-Sep-16,-,-,-,1.45,-
11-Sep-16,-,-,-,1.38,-
10-Sep-16,-,-,-,1.38,-
9-Sep-16,-,-,-,1.37,-
8-Sep-16,-,-,-,1.35,-
7-Sep-16,-,-,-,1.33,-
6-Sep-16,-,-,-,1.33,-
5-Sep-16,-,-,-,1.33,-
4-Sep-16,-,-,-,1.40,-
3-Sep-16,-,-,-,1.42,-
2-Sep-16,-,-,-,1.43,-
1-Sep-16,-,-,-,1.44,-
31-Aug-16,-,-,-,1.46,-
30-Aug-16,-,-,-,1.46,-
29-Aug-16,-,-,-,1.47,-
28-Aug-16,-,-,-,1.47,-
27-Aug-16,-,-,-,1.47,-
26-Aug-16,-,-,-,1.47,-
25-Aug-16,-,-,-,1.47,-
24-Aug-16,-,-,-,1.46,-
23-Aug-16,-,-,-,1.46,-
22-Aug-16,-,-,-,1.45,-
21-Aug-16,-,-,-,1.44,-
20-Aug-16,-,-,-,1.44,-
19-Aug-16,-,-,-,1.44,-
18-Aug-16,-,-,-,1.43,-
17-Aug-16,-,-,-,1.43,-
16-Aug-16,-,-,-,1.42,-
15-Aug-16,-,-,-,1.42,-
14-Aug-16,-,-,-,1.42,-
13-Aug-16,-,-,-,1.43,-
12-Aug-16,-,-,-,1.42,-
11-Aug-16,-,-,-,1.43,-
10-Aug-16,-,-,-,1.43,-
9-Aug-16,-,-,-,1.44,-
8-Aug-16,-,-,-,1.44,-
7-Aug-16,-,-,-,1.44,-
6-Aug-16,-,-,-,1.44,-
5-Aug-16,-,-,-,1.44,-
4-Aug-16,-,-,-,1.43,-
3-Aug-16,-,-,-,1.42,-
2-Aug-16,-,-,-,1.42,-
1-Aug-16,-,-,-,1.42,-
31-Jul-16,-,-,-,1.42,-
30-Jul-16,-,-,-,1.41,-
29-Jul-16,-,-,-,1.42,-
28-Jul-16,-,-,-,1.42,-
27-Jul-16,-,-,-,1.43,-
26-Jul-16,-,-,-,1.43,-
25-Jul-16,-,-,-,1.43,-
24-Jul-16,-,-,-,1.43,-
23-Jul-16,-,-,-,1.43,-
22-Jul-16,-,-,-,1.42,-
21-Jul-16,-,-,-,1.42,-
20-Jul-16,-,-,-,1.42,-
19-Jul-16,-,-,-,1.43,-
18-Jul-16,-,-,-,1.42,-
17-Jul-16,-,-,-,1.42,-
16-Jul-16,-,-,-,1.42,-
15-Jul-16,-,-,-,1.42,-
14-Jul-16,-,-,-,1.42,-
13-Jul-16,-,-,-,1.42,-
12-Jul-16,-,-,-,1.42,-
11-Jul-16,-,-,-,1.41,-
10-Jul-16,-,-,-,1.32,-
9-Jul-16,-,-,-,1.31,-
8-Jul-16,-,-,-,1.30,-
7-Jul-16,-,-,-,1.30,-
6-Jul-16,-,-,-,1.30,-
5-Jul-16,-,-,-,1.29,-
4-Jul-16,-,-,-,1.31,-
3-Jul-16,-,-,-,1.39,-
2-Jul-16,-,-,-,1.41,-
1-Jul-16,-,-,-,1.42,-
30-Jun-16,-,-,-,1.43,-
29-Jun-16,-,-,-,1.44,-
28-Jun-16,-,-,-,1.44,-
27-Jun-16,-,-,-,1.45,-
26-Jun-16,-,-,-,1.45,-
25-Jun-16,-,-,-,1.43,-
24-Jun-16,-,-,-,1.43,-
23-Jun-16,-,-,-,1.43,-
22-Jun-16,-,-,-,1.43,-
21-Jun-16,-,-,-,1.42,-
20-Jun-16,-,-,-,1.41,-
19-Jun-16,-,-,-,1.42,-
18-Jun-16,-,-,-,1.42,-
17-Jun-16,-,-,-,1.42,-
16-Jun-16,-,-,-,1.43,-
15-Jun-16,-,-,-,1.43,-
14-Jun-16,-,-,-,1.42,-
13-Jun-16,-,-,-,1.43,-
12-Jun-16,-,-,-,1.44,-
11-Jun-16,-,-,-,1.46,-
10-Jun-16,-,-,-,1.46,-
9-Jun-16,-,-,-,1.47,-
8-Jun-16,-,-,-,1.47,-
7-Jun-16,-,-,-,1.48,-
6-Jun-16,-,-,-,1.47,-
5-Jun-16,-,-,-,1.39,-
4-Jun-16,-,-,-,1.37,-
3-Jun-16,-,-,-,1.36,-
2-Jun-16,-,-,-,1.33,-
1-Jun-16,-,-,-,1.32,-
31-May-16,-,-,-,1.32,-
30-May-16,-,-,-,1.33,-
29-May-16,-,-,-,1.41,-
28-May-16,-,-,-,1.44,-
27-May-16,-,-,-,1.45,-
26-May-16,-,-,-,1.47,-
25-May-16,-,-,-,1.48,-
24-May-16,-,-,-,1.49,-
23-May-16,-,-,-,1.49,-
22-May-16,-,-,-,1.50,-
21-May-16,-,-,-,1.49,-
20-May-16,-,-,-,1.49,-
19-May-16,-,-,-,1.49,-
18-May-16,-,-,-,1.48,-
17-May-16,-,-,-,1.48,-
16-May-16,-,-,-,1.48,-
15-May-16,-,-,-,1.47,-
14-May-16,-,-,-,1.46,-
13-May-16,-,-,-,1.45,-
12-May-16,-,-,-,1.44,-
11-May-16,-,-,-,1.43,-
10-May-16,-,-,-,1.41,-
9-May-16,-,-,-,1.40,-
8-May-16,-,-,-,1.39,-
7-May-16,-,-,-,1.41,-
6-May-16,-,-,-,1.41,-
5-May-16,-,-,-,1.41,-
4-May-16,-,-,-,1.41,-
3-May-16,-,-,-,1.41,-
2-May-16,-,-,-,1.41,-
1-May-16,-,-,-,1.40,-
30-Apr-16,-,-,-,1.40,-
29-Apr-16,-,-,-,1.40,-
28-Apr-16,-,-,-,1.40,-
27-Apr-16,-,-,-,1.38,-
26-Apr-16,-,-,-,1.38,-
25-Apr-16,-,-,-,1.38,-
24-Apr-16,-,-,-,1.39,-
23-Apr-16,-,-,-,1.39,-
22-Apr-16,-,-,-,1.39,-
21-Apr-16,-,-,-,1.40,-
20-Apr-16,-,-,-,1.42,-
