Date,Open,High,Low,Close,Volume
14-Aug-17,-,-,-,1.66,-
13-Aug-17,-,-,-,1.67,-
12-Aug-17,-,-,-,1.69,-
11-Aug-17,-,-,-,1.71,-
10-Aug-17,-,-,-,1.73,-
9-Aug-17,-,-,-,1.75,-
8-Aug-17,-,-,-,1.78,-
7-Aug-17,-,-,-,1.80,-
6-Aug-17,-,-,-,1.80,-
5-Aug-17,-,-,-,1.81,-
4-Aug-17,-,-,-,1.81,-
3-Aug-17,-,-,-,1.80,-
2-Aug-17,-,-,-,1.79,-
1-Aug-17,-,-,-,1.76,-
31-Jul-17,-,-,-,1.74,-
30-Jul-17,-,-,-,1.74,-
29-Jul-17,-,-,-,1.73,-
28-Jul-17,-,-,-,1.73,-
27-Jul-17,-,-,-,1.72,-
26-Jul-17,-,-,-,1.72,-
25-Jul-17,-,-,-,1.73,-
24-Jul-17,-,-,-,1.73,-
23-Jul-17,-,-,-,1.72,-
22-Jul-17,-,-,-,1.72,-
21-Jul-17,-,-,-,1.73,-
20-Jul-17,-,-,-,1.74,-
19-Jul-17,-,-,-,1.75,-
18-Jul-17,-,-,-,1.75,-
17-Jul-17,-,-,-,1.75,-
16-Jul-17,-,-,-,1.76,-
15-Jul-17,-,-,-,1.77,-
14-Jul-17,-,-,-,1.77,-
13-Jul-17,-,-,-,1.78,-
12-Jul-17,-,-,-,1.79,-
11-Jul-17,-,-,-,1.80,-
10-Jul-17,-,-,-,1.77,-
9-Jul-17,-,-,-,1.78,-
8-Jul-17,-,-,-,1.78,-
7-Jul-17,-,-,-,1.78,-
6-Jul-17,-,-,-,1.77,-
5-Jul-17,-,-,-,1.76,-
4-Jul-17,-,-,-,1.74,-
3-Jul-17,-,-,-,1.77,-
2-Jul-17,-,-,-,1.76,-
1-Jul-17,-,-,-,1.76,-
30-Jun-17,-,-,-,1.75,-
29-Jun-17,-,-,-,1.75,-
28-Jun-17,-,-,-,1.76,-
27-Jun-17,-,-,-,1.77,-
26-Jun-17,-,-,-,1.77,-
25-Jun-17,-,-,-,1.76,-
24-Jun-17,-,-,-,1.73,-
23-Jun-17,-,-,-,1.73,-
22-Jun-17,-,-,-,1.71,-
21-Jun-17,-,-,-,1.70,-
20-Jun-17,-,-,-,1.70,-
19-Jun-17,-,-,-,1.69,-
18-Jun-17,-,-,-,1.69,-
17-Jun-17,-,-,-,1.72,-
16-Jun-17,-,-,-,1.72,-
15-Jun-17,-,-,-,1.73,-
14-Jun-17,-,-,-,1.73,-
13-Jun-17,-,-,-,1.73,-
12-Jun-17,-,-,-,1.74,-
11-Jun-17,-,-,-,1.74,-
10-Jun-17,-,-,-,1.74,-
9-Jun-17,-,-,-,1.75,-
8-Jun-17,-,-,-,1.76,-
7-Jun-17,-,-,-,1.78,-
6-Jun-17,-,-,-,1.79,-
5-Jun-17,-,-,-,1.79,-
4-Jun-17,-,-,-,1.76,-
3-Jun-17,-,-,-,1.74,-
2-Jun-17,-,-,-,1.72,-
1-Jun-17,-,-,-,1.70,-
31-May-17,-,-,-,1.66,-
30-May-17,-,-,-,1.63,-
29-May-17,-,-,-,1.61,-
28-May-17,-,-,-,1.62,-
27-May-17,-,-,-,1.62,-
26-May-17,-,-,-,1.62,-
25-May-17,-,-,-,1.62,-
24-May-17,-,-,-,1.62,-
23-May-17,-,-,-,1.62,-
22-May-17,-,-,-,1.62,-
21-May-17,-,-,-,1.62,-
20-May-17,-,-,-,1.60,-
19-May-17,-,-,-,1.59,-
18-May-17,-,-,-,1.58,-
17-May-17,-,-,-,1.58,-
16-May-17,-,-,-,1.58,-
15-May-17,-,-,-,1.57,-
14-May-17,-,-,-,1.57,-
13-May-17,-,-,-,1.60,-
12-May-17,-,-,-,1.61,-
11-May-17,-,-,-,1.62,-
10-May-17,-,-,-,1.62,-
9-May-17,-,-,-,1.63,-
8-May-17,-,-,-,1.64,-
7-May-17,-,-,-,1.66,-
6-May-17,-,-,-,1.66,-
5-May-17,-,-,-,1.66,-
4-May-17,-,-,-,1.65,-
3-May-17,-,-,-,1.64,-
2-May-17,-,-,-,1.63,-
1-May-17,-,-,-,1.62,-
30-Apr-17,-,-,-,1.60,-
29-Apr-17,-,-,-,1.60,-
28-Apr-17,-,-,-,1.61,-
27-Apr-17,-,-,-,1.60,-
26-Apr-17,-,-,-,1.60,-
25-Apr-17,-,-,-,1.61,-
24-Apr-17,-,-,-,1.61,-
23-Apr-17,-,-,-,1.60,-
22-Apr-17,-,-,-,1.57,-
21-Apr-17,-,-,-,1.56,-
20-Apr-17,-,-,-,1.55,-
19-Apr-17,-,-,-,1.54,-
18-Apr-17,-,-,-,1.53,-
17-Apr-17,-,-,-,1.52,-
